,Ch1,Ch2,Ch3,Ch4,,,,
1,0.132652633,0.081450572,0.150720889,0.635175905,,,,
2,0.431855635,0.040474642,0.013744136,0.513925587,,,,
3,0.025392197,0.271711262,0.202186804,0.500709737,,,,
4,0.276799883,0.1592049,0.13157054,0.432424678,,,,
5,0.041449469,0.321839455,0.056938539,0.579772536,,,,
6,0.208915472,0.251043343,0.030284012,0.509757174,,,,
7,0.297269377,0.070337468,0.071173009,0.561220146,,,,
8,0.036753935,0.1937761,0.037299671,0.732170293,,,,
9,0.23563779,0.331884205,0.027479234,0.404998771,,,,
10,0.139564357,0.114854842,0.033370325,0.712210476,,,,
11,0.274596749,0.058964515,0.129360904,0.537077832,,,,
12,0.054904995,0.209628494,0.096154895,0.639311616,,,,
13,0.134168202,0.101005127,0.119722425,0.645104245,,,,
14,0.030827546,0.173435073,0.075696195,0.720041186,,,,
15,0.132739605,0.261831239,0.016395906,0.58903325,,,,
16,0.03762355,0.210748003,0.025448606,0.726179841,,,,
17,0.133785177,0.137005791,0.041103057,0.688105976,,,,
18,0.075745309,0.031452309,0.190286625,0.702515757,,,,
19,0.034926237,0.224678048,0.158185382,0.582210332,,,,
20,0.069554939,0.291597978,0.345565614,0.29328147,,,,
21,0.390749897,0.146574712,0.07446483,0.38821056,,,,
22,0.35863758,0.309993796,0.038002291,0.293366333,,,,
23,0.089025443,0.611263694,0.042691687,0.257019176,,,,
24,0.189829289,0.252026467,0.139773924,0.41837032,,,,
25,0.113582953,0.339948969,0.365019987,0.181448091,,,,
26,0.106873548,0.143466234,0.154044805,0.595615413,,,,
27,0.083800465,0.431574771,0.340226326,0.144398438,,,,
28,0.080572137,0.355266592,0.162165316,0.401995955,,,,
29,0.183241444,0.263830591,0.372234682,0.180693283,,,,
30,0.143650677,0.116404773,0.172085934,0.567858616,,,,
31,0.21546144,0.258532533,0.186970814,0.339035213,,,,
32,0.18883406,0.066870966,0.364258008,0.380036966,,,,
33,0.358008327,0.279376587,0.083743403,0.278871683,,,,
34,0.604242288,0.056814296,0.038933763,0.300009653,,,,
35,0.236667342,0.355653113,0.059168668,0.348510876,,,,
36,0.662601052,0.062680127,0.053011481,0.22170734,,,,
37,0.091354612,0.307888075,0.315901875,0.284855438,,,,
38,0.298991722,0.123216232,0.122252807,0.455539239,,,,
39,0.062111792,0.167577517,0.331151792,0.439158899,,,,
40,0.097211319,0.054846527,0.447357109,0.400585045,,,,
41,0.344504324,0.243296999,0.088664261,0.323534416,,,,
42,0.313739337,0.129778056,0.033292428,0.523190178,,,,
43,0.029962786,0.056284318,0.539035552,0.374717344,,,,
44,0.167467798,0.074859896,0.393330617,0.364341689,,,,
45,0.283044339,0.096246327,0.133614654,0.48709468,,,,
46,0.104947667,0.266578906,0.274894082,0.353579345,,,,
47,0.079550821,0.227219138,0.193691495,0.499538546,,,,
48,0.105348439,0.229180989,0.049287688,0.616182884,,,,
49,0.077065564,0.357819625,0.257668813,0.307445998,,,,
50,0.077851274,0.071876874,0.129759727,0.720512125,,,,
51,0.239622934,0.066242925,0.253170352,0.440963789,,,,
52,0.119719584,0.052387845,0.177383822,0.650508749,,,,
53,0.284730806,0.169615135,0.033265988,0.512388071,,,,
54,0.256388531,0.071857569,0.045932748,0.625821152,,,,
55,0.146758013,0.309497933,0.134473683,0.40927037,,,,
56,0.099027396,0.054526717,0.096103181,0.750342706,,,,
57,0.373193823,0.088558496,0.054047225,0.484200456,,,,
58,0.191571989,0.423450773,0.212319963,0.172657275,,,,
59,0.341337193,0.224446856,0.187627253,0.246588698,,,,
60,0.634183049,0.025700447,0.244449427,0.095667077,,,,
61,0.153333657,0.398704014,0.072379605,0.375582725,,,,
62,0.1465065,0.595004862,0.081941624,0.176547015,,,,
63,0.223816497,0.119717184,0.277497281,0.378969038,,,,
64,0.077615885,0.069217348,0.699519316,0.153647451,,,,
65,0.446472983,0.190330573,0.270556132,0.092640313,,,,
66,0.286126811,0.427772064,0.21768583,0.068415295,,,,
67,0.305519339,0.273025003,0.276011188,0.14544447,,,,
68,0.346346952,0.213174981,0.356664475,0.083813592,,,,
69,0.100132166,0.138894082,0.103495651,0.6574781,,,,
70,0.248230326,0.584561108,0.015556667,0.151651899,,,,
71,0.092350741,0.283985276,0.448644682,0.175019301,,,,
72,0.084399791,0.162108381,0.579074246,0.174417581,,,,
73,0.384432304,0.073451126,0.331467861,0.210648709,,,,
74,0.031835362,0.621070755,0.172801205,0.174292678,,,,
75,0.156669374,0.334519533,0.088419042,0.420392051,,,,
76,0.083466718,0.578649642,0.131104937,0.206778704,,,,
77,0.092685554,0.333542086,0.32427217,0.249500191,,,,
78,0.127903613,0.410817476,0.254944865,0.206334046,,,,
79,0.033049145,0.535579408,0.311881385,0.119490061,,,,
80,0.082546063,0.086072986,0.490331038,0.341049913,,,,
81,0.190207814,0.053161761,0.624602204,0.132028221,,,,
82,0.70430044,0.048428902,0.030607885,0.216662773,,,,
83,0.199429207,0.1465465,0.13461895,0.519405342,,,,
84,0.085808591,0.429557567,0.310245955,0.174387887,,,,
85,0.675057271,0.033801176,0.045541929,0.245599624,,,,
86,0.221032523,0.160221382,0.133699393,0.485046702,,,,
87,0.144970094,0.045691389,0.642245309,0.167093208,,,,
88,0.56398016,0.067019028,0.122645805,0.246355007,,,,
89,0.607006247,0.158760073,0.077276332,0.156957348,,,,
90,0.441622032,0.078164547,0.365498882,0.114714539,,,,
91,0.159733556,0.336905961,0.089070294,0.414290189,,,,
92,0.197458349,0.0824361,0.521772677,0.198332874,,,,
93,0.256348527,0.494876358,0.14051276,0.108262354,,,,
94,0.048054567,0.462046002,0.329014498,0.160884933,,,,
95,0.256896293,0.153756509,0.476116666,0.113230531,,,,
96,0.138080554,0.243502214,0.481530005,0.136887226,,,,
97,0.340954435,0.452053521,0.054611985,0.152380059,,,,
98,0.295696947,0.538137333,0.109607617,0.056558103,,,,
99,0.156213477,0.378012622,0.149243435,0.316530467,,,,
100,0.280582078,0.503365295,0.119517212,0.096535416,,,,
101,0.287881699,0.154381791,0.307494022,0.250242488,,,,
102,0.214692842,0.283759817,0.368958201,0.13258914,,,,
103,0.118029403,0.451467881,0.066809304,0.363693411,,,,
104,0.140861748,0.323658071,0.179267968,0.356212214,,,,
105,0.088698056,0.75828656,0.042335935,0.110679449,,,,
106,0.324973326,0.40463693,0.10779136,0.162598385,,,,
107,0.180845019,0.559295976,0.135418789,0.124440216,,,,
108,0.042541846,0.692941632,0.114136973,0.150379548,,,,
109,0.394896518,0.144747954,0.224745542,0.235609986,,,,
110,0.560550291,0.162177245,0.122634985,0.154637479,,,,
111,0.177982938,0.174558726,0.444730644,0.202727693,,,,
112,0.580210295,0.124759854,0.049065678,0.245964172,,,,
113,0.295775159,0.129529229,0.43423603,0.140459582,,,,
114,0.417754539,0.082392417,0.191201325,0.308651718,,,,
115,0.04781272,0.668839703,0.035232218,0.248115359,,,,
116,0.469116057,0.036330344,0.159449321,0.335104278,,,,
117,0.194387699,0.148060993,0.138464366,0.519086942,,,,
118,0.110921028,0.24102565,0.391122584,0.256930738,,,,
119,0.106915887,0.091484098,0.080797011,0.720803004,,,,
120,0.145237814,0.290066896,0.062509231,0.502186059,,,,
121,0.500811895,0.112448231,0.101272512,0.285467362,,,,
122,0.172527204,0.095355134,0.114864729,0.617252932,,,,
123,0.022148075,0.457364771,0.224863273,0.295623881,,,,
124,0.377483708,0.030537586,0.198727575,0.393251131,,,,
125,0.264112328,0.24201528,0.053646202,0.44022619,,,,
126,0.439619501,0.167217982,0.110846243,0.282316274,,,,
127,0.121429796,0.546969578,0.090418747,0.241181879,,,,
128,0.392336442,0.043702126,0.117282654,0.446678778,,,,
129,0.307120489,0.083613022,0.271727957,0.337538532,,,,
130,0.196841992,0.362598908,0.220507435,0.220051666,,,,
131,0.125265054,0.372998292,0.13763702,0.364099633,,,,
132,0.069604494,0.090205795,0.560218901,0.279970809,,,,
133,0.21391099,0.183653755,0.274946534,0.327488721,,,,
134,0.197304515,0.493524346,0.144050106,0.165121033,,,,
135,0.20020277,0.101122946,0.350392914,0.34828137,,,,
136,0.107465904,0.597998185,0.087471087,0.207064824,,,,
137,0.074012234,0.241401015,0.488816049,0.195770703,,,,
138,0.411200467,0.158468674,0.301003707,0.129327153,,,,
139,0.578711076,0.074746237,0.262335675,0.084207013,,,,
140,0.397150473,0.233167136,0.302375623,0.067306768,,,,
141,0.237998734,0.054814219,0.559549834,0.147637212,,,,
142,0.314069122,0.459709006,0.064832399,0.161389473,,,,
143,0.133059924,0.191902756,0.236605037,0.438432283,,,,
144,0.429375087,0.145386909,0.141972768,0.283265236,,,,
145,0.32632906,0.148989549,0.236010009,0.288671382,,,,
146,0.548752888,0.124012542,0.100464619,0.226769951,,,,
147,0.21529151,0.088446446,0.570348554,0.12591349,,,,
148,0.370418108,0.093543402,0.291802678,0.244235813,,,,
149,0.065791357,0.655370368,0.126856299,0.151981975,,,,
150,0.181555938,0.065193685,0.560148622,0.193101755,,,,
151,0.208437075,0.059140956,0.508933224,0.223488745,,,,
152,0.451042362,0.122342195,0.138937761,0.287677683,,,,
153,0.437561864,0.128035557,0.206149597,0.228252983,,,,
154,0.119789946,0.135953509,0.369186643,0.375069902,,,,
155,0.225473843,0.066199425,0.326846399,0.381480333,,,,
156,0.266844342,0.121246205,0.396873065,0.215036388,,,,
