,Ch1,Ch2,Ch3,Ch4,,,
1,0.119155202,0.07346737,0.180887097,0.626490331,,,
2,0.381413385,0.034946004,0.014391693,0.569248918,,,
3,0.022788514,0.230581749,0.19425998,0.552369756,,,
4,0.25128585,0.157603083,0.122122766,0.468988301,,,
5,0.039606134,0.285343833,0.054097547,0.620952486,,,
6,0.204179845,0.24849648,0.028460771,0.518862903,,,
7,0.261052974,0.064441753,0.066559839,0.607945433,,,
8,0.030142624,0.152214294,0.028778354,0.788864727,,,
9,0.226406394,0.316398432,0.026268969,0.430926205,,,
10,0.12297629,0.120095922,0.02915903,0.727768757,,,
11,0.24158543,0.04898127,0.111158434,0.598274866,,,
12,0.053952914,0.183046666,0.099545218,0.663455201,,,
13,0.113960363,0.085732925,0.102894438,0.697412275,,,
14,0.026929243,0.135736114,0.062449859,0.774884784,,,
15,0.121583168,0.225547035,0.017913101,0.634956696,,,
16,0.039661325,0.213309508,0.025729863,0.721299305,,,
17,0.122878322,0.116453414,0.035093346,0.725574918,,,
18,0.070867978,0.026629195,0.165905646,0.736597181,,,
19,0.040186835,0.20073443,0.157997856,0.60108088,,,
20,0.079231842,0.275231226,0.347849278,0.297687655,,,
21,0.389918362,0.16536994,0.0834618,0.361249899,,,
22,0.357322575,0.293391774,0.040004707,0.309280944,,,
23,0.10733673,0.60406652,0.048287843,0.240308907,,,
24,0.20514857,0.24195379,0.159311783,0.393585856,,,
25,0.127193947,0.309210888,0.389272584,0.174322582,,,
26,0.10764344,0.136376907,0.149756071,0.606223582,,,
27,0.096654229,0.414812927,0.368952625,0.11958022,,,
28,0.09022481,0.340597588,0.165951221,0.403226381,,,
29,0.193210986,0.255277562,0.402953853,0.1485576,,,
30,0.169828907,0.114309069,0.20405607,0.511805954,,,
31,0.208963271,0.233599071,0.21803524,0.339402419,,,
32,0.185035577,0.063656026,0.366056576,0.385251821,,,
33,0.358990717,0.270448887,0.092106811,0.278453585,,,
34,0.603341167,0.063776095,0.049262095,0.283620643,,,
35,0.246269194,0.341761812,0.070927142,0.341041853,,,
36,0.671520929,0.063033623,0.054647449,0.210797998,,,
37,0.091234465,0.309002136,0.33784255,0.261920849,,,
38,0.337265484,0.107579315,0.157459602,0.397695599,,,
39,0.07505954,0.167527737,0.374291039,0.383121684,,,
40,0.098024162,0.057137257,0.430536904,0.414301677,,,
41,0.377475623,0.245049176,0.080047229,0.297427972,,,
42,0.323495223,0.131384629,0.031197226,0.513922922,,,
43,0.033135247,0.060235634,0.552511697,0.354117421,,,
44,0.188584502,0.094217035,0.373954439,0.343244024,,,
45,0.29351341,0.111542066,0.12477378,0.470170744,,,
46,0.116530822,0.266883477,0.265142949,0.351442752,,,
47,0.093640675,0.238199737,0.182815647,0.485343941,,,
48,0.10731068,0.236839896,0.045866935,0.609982489,,,
49,0.097874907,0.362714306,0.259670784,0.279740003,,,
50,0.103114569,0.075765348,0.165520293,0.655599791,,,
51,0.241680046,0.068856041,0.232205307,0.457258605,,,
52,0.125011434,0.061038701,0.174868712,0.639081153,,,
53,0.284229725,0.198180148,0.039816891,0.477773237,,,
54,0.263048069,0.070756295,0.044064352,0.622131285,,,
55,0.153060118,0.381874728,0.140463316,0.324601838,,,
56,0.11717618,0.063353708,0.089723821,0.729746291,,,
57,0.403050283,0.091907592,0.061866479,0.443175645,,,
58,0.16983857,0.41884735,0.249518595,0.161795485,,,
59,0.320251509,0.200134582,0.195248994,0.284364915,,,
60,0.58528853,0.025070072,0.28017455,0.109466848,,,
61,0.139807159,0.353526798,0.075096401,0.431569643,,,
62,0.168713148,0.549725141,0.092510853,0.189050858,,,
63,0.203450984,0.118437123,0.320197526,0.357914366,,,
64,0.072872953,0.061487692,0.690649564,0.17498979,,,
65,0.443762029,0.187663844,0.27303677,0.095537358,,,
66,0.272456724,0.447006319,0.216084991,0.064451965,,,
67,0.28574181,0.253595646,0.293462337,0.167200207,,,
68,0.328082839,0.202735909,0.3706254,0.098555851,,,
69,0.10433761,0.13593875,0.09669189,0.66303175,,,
70,0.215910356,0.610399598,0.019623702,0.154066345,,,
71,0.087733642,0.25827253,0.466871095,0.187122733,,,
72,0.081655126,0.163631644,0.569135947,0.185577282,,,
73,0.365945947,0.058963041,0.386538934,0.188552078,,,
74,0.032138096,0.582294711,0.178378262,0.20718893,,,
75,0.147689644,0.314503649,0.099536546,0.438270162,,,
76,0.085064336,0.5298566,0.154830775,0.230248289,,,
77,0.093910523,0.370657697,0.301671978,0.233759803,,,
78,0.124524571,0.485018982,0.241858515,0.148597932,,,
79,0.034374697,0.574400375,0.279204912,0.112020015,,,
80,0.086206061,0.099412347,0.560106096,0.254275496,,,
81,0.20317162,0.06128791,0.604855065,0.130685405,,,
82,0.72421574,0.06101128,0.035823562,0.178949418,,,
83,0.218410011,0.160415954,0.124899401,0.496274635,,,
84,0.076407888,0.51481221,0.294567831,0.11421207,,,
85,0.689947771,0.038003272,0.042445031,0.229603926,,,
86,0.223239192,0.199747371,0.136550548,0.440462889,,,
87,0.135781638,0.044963551,0.695673264,0.123581546,,,
88,0.604578866,0.07742364,0.110230896,0.207766597,,,
89,0.604021421,0.186557911,0.076398098,0.133022571,,,
90,0.472442045,0.089853303,0.342074508,0.095630145,,,
