"","Ch1","Ch2","Ch3","Ch4"
"1.Ch1",0.322770243758264,0.0610676540232065,0.115741175667959,0.500420926550571
"2.Ch1",0.377216785713823,0.0243466959036985,0.0136020205694913,0.584834497812987
"3.Ch1",0.273390103650777,0.198553727790263,0.104193896170737,0.423862272388223
"4.Ch1",0.266963256234044,0.185922209258895,0.133216405348502,0.41389812915856
"5.Ch1",0.291545103868137,0.191074351488205,0.0653708757528592,0.452009668890799
"6.Ch1",0.330280832820924,0.136080215101138,0.0215736561644576,0.51206529591348
"7.Ch1",0.354025032103994,0.0557691314059797,0.0413276855032837,0.548878150986743
"8.Ch1",0.336468503412338,0.128776262921944,0.013096612746529,0.521658620919189
"9.Ch1",0.30188130514438,0.213448998533299,0.0166348469209402,0.468034849401381
"10.Ch1",0.347630711540922,0.0939952308969653,0.0194096203786468,0.538964437183466
"11.Ch1",0.330347186519209,0.0507680729795202,0.106716570237328,0.512168170263943
"12.Ch1",0.333120246387232,0.105002040836203,0.0454102081862037,0.516467504590361
"13.Ch1",0.341062575696733,0.0582775738195491,0.07187860920638,0.528781241277338
"14.Ch1",0.336773241518218,0.0986880537235487,0.0424076198240116,0.522131084934222
"15.Ch1",0.305774746343726,0.207788379021913,0.012365658838851,0.47407121579551
"16.Ch1",0.306482888555434,0.202667352932177,0.0156806435500097,0.47516911496238
"17.Ch1",0.364495035887173,0.0533351674342374,0.0170590186282112,0.565110778050378
"18.Ch1",0.333022355442282,0.0153596886743463,0.135302220789488,0.516315735093884
"19.Ch1",0.271507813541531,0.119982363939818,0.18756584070622,0.420943981812431
"20.Ch1",0.486070516692128,0.1745572075792,0.17103434067453,0.168337935054142
"21.Ch1",0.624083777916214,0.107933026507898,0.051847941806227,0.216135253769661
"22.Ch1",0.54636139728891,0.232265605627385,0.0321548769664418,0.189218120117263
"23.Ch1",0.484027639581736,0.315556898753087,0.0327850241911663,0.167630437474011
"24.Ch1",0.546423247001141,0.179815208455693,0.0845220043798743,0.189239540163291
"25.Ch1",0.383893719455191,0.211819486887332,0.271335146120555,0.132951647536921
"26.Ch1",0.651606198570887,0.0744305829364272,0.0482962871133053,0.225666931379381
"27.Ch1",0.36898047603655,0.252678756773215,0.250553935283643,0.127786831906592
"28.Ch1",0.527704716226602,0.212816646872434,0.0767217750932281,0.182756861807737
"29.Ch1",0.361548726162617,0.174965021574763,0.338273214455144,0.125213037807475
"30.Ch1",0.640462885531901,0.0603530975674057,0.0773762833994528,0.221807733501241
"31.Ch1",0.57375047606913,0.131266540597522,0.0962793651112538,0.198703618222094
"32.Ch1",0.55770238905927,0.0447184057458164,0.204433426290443,0.193145778904471
"33.Ch1",0.576407549161786,0.17510339237966,0.0488652317845071,0.199623826674048
"34.Ch1",0.673666195683048,0.0511927043951405,0.0418342598591523,0.233306840062659
"35.Ch1",0.567091315954002,0.192643779273586,0.043867514195237,0.196397390577175
"36.Ch1",0.633913146492997,0.0801194514816901,0.0664280010130614,0.219539401012251
"37.Ch1",0.430601131622437,0.234770273834525,0.185501044444766,0.149127550098272
"38.Ch1",0.675325977732172,0.033541269750444,0.0572510899275524,0.233881662589832
"39.Ch1",0.367419125416556,0.0775884240975005,0.253631066081131,0.301361384404813
"40.Ch1",0.354266944763911,0.041091363762186,0.314067876619067,0.290573814854835
"41.Ch1",0.39443066404045,0.204999246815382,0.0770535306847323,0.323516558459435
"42.Ch1",0.470521624155094,0.11203315418466,0.0315179842388955,0.385927237421351
"43.Ch1",0.365067649983551,0.0334414696843349,0.302058203070895,0.299432677261219
"44.Ch1",0.330432257034813,0.0589368497599492,0.339606562832883,0.271024330372355
"45.Ch1",0.484317729933063,0.0578052789748455,0.0606340293411191,0.397242961750972
"46.Ch1",0.34350269275484,0.156956932006423,0.217795523448517,0.28174485179022
"47.Ch1",0.442330263194843,0.107502380065617,0.087362997196701,0.362804359542839
"48.Ch1",0.421229512223271,0.197803225407944,0.0354699809960457,0.345497281372739
"49.Ch1",0.299939913820641,0.256293280099583,0.197752645644414,0.246014160435362
"50.Ch1",0.485226630741438,0.0435669250246373,0.0732179916063203,0.397988452627605
"51.Ch1",0.440483833156342,0.0546220735938451,0.143604196820398,0.361289896429416
"52.Ch1",0.495119128701774,0.025549089174295,0.0732293891096657,0.406102393014265
"53.Ch1",0.450604612626668,0.145507352951745,0.0342969584904915,0.369591075931096
"54.Ch1",0.514623475357705,0.0316314015633994,0.031645041039926,0.422100082038969
"55.Ch1",0.348512186317007,0.266795015865293,0.0988391019019862,0.285853695915713
"56.Ch1",0.504911744619406,0.0355146120218906,0.0454392343557865,0.414134409002917
"57.Ch1",0.480614482004311,0.0764360271531094,0.0487439755537032,0.394205515288876
"58.Ch1",0.637836697452795,0.157906421252698,0.104445404342875,0.0998114769516319
"59.Ch1",0.706764181864301,0.0845366826847363,0.0981015841810181,0.110597551269945
"60.Ch1",0.685814988873676,0.0341740211706996,0.172691660057528,0.107319329898096
"61.Ch1",0.740116600255657,0.119035269999105,0.0250314461286533,0.115816683616585
"62.Ch1",0.653449769087043,0.21810801800058,0.0261875342042626,0.102254678708115
"63.Ch1",0.719199570071296,0.0402262844216364,0.128030650285695,0.112543495221373
"64.Ch1",0.588834422623736,0.0336009200397713,0.285421270734962,0.0921433866015307
"65.Ch1",0.519046850647683,0.188370432471483,0.211359994862598,0.0812227220182363
"66.Ch1",0.493772239930245,0.273240896570557,0.155719223142396,0.0772676403568025
"67.Ch1",0.530923067731545,0.173697488784561,0.21229827905795,0.083081164425944
"68.Ch1",0.490486108328449,0.190655591749465,0.242104887815151,0.0767534121069347
"69.Ch1",0.804563825268342,0.0442787632357459,0.0252557441528678,0.125901667343044
"70.Ch1",0.548027030554507,0.351344241528825,0.0148710605583851,0.0857576673582827
"71.Ch1",0.562030877226357,0.141814283752588,0.208205788468761,0.0879490505522938
"72.Ch1",0.584169026730582,0.0899593780525732,0.234458270175772,0.0914133250410727
"73.Ch1",0.69283375813161,0.0331851809788256,0.165563403270886,0.108417657618678
"74.Ch1",0.526589666456346,0.324939207011844,0.0660680716960302,0.0824030548357794
"75.Ch1",0.7373813495935,0.123443184186981,0.0237868065932645,0.115388659626255
"76.Ch1",0.631122528213176,0.187681563793057,0.0824350936192267,0.0987608143745399
"77.Ch1",0.548115726895364,0.194367950795818,0.133274812951262,0.124241509357556
"78.Ch1",0.523872904309409,0.252581756821726,0.104798955305687,0.118746383563179
