"","Ch1","Ch2","Ch3","Ch4"
"1.Ch1",0.327179110997165,0.0616975702513284,0.116877169727263,0.494246149024244
"2.Ch1",0.383803501593008,0.023564133288039,0.0128477875943564,0.579784577524597
"3.Ch1",0.27879615448776,0.196858580376992,0.103187797904591,0.421157467230657
"4.Ch1",0.270123082903412,0.187535756453911,0.134285484103091,0.408055676539585
"5.Ch1",0.295116883726049,0.193062178853302,0.066008908501422,0.445812028919227
"6.Ch1",0.337594813642091,0.131963778253546,0.0204609999278551,0.509980408176508
"7.Ch1",0.360040636033807,0.0552077737939376,0.0408638789134207,0.543887711258835
"8.Ch1",0.341118701765583,0.130333117687479,0.0132444859010715,0.515303694645866
"9.Ch1",0.307715764298381,0.211354384817962,0.0160855916184476,0.464844259265209
"10.Ch1",0.352695209956299,0.094930458111827,0.0195828319827563,0.532791499949117
"11.Ch1",0.334953759901779,0.0512875683331731,0.107767915117751,0.505990756647297
"12.Ch1",0.339601382100872,0.104377109782203,0.0430099200754107,0.513011588041515
"13.Ch1",0.345887339521978,0.0589206105022781,0.0726847143639038,0.52250733561184
"14.Ch1",0.343032322117247,0.0978028526701769,0.0409703607781927,0.518194464434383
"15.Ch1",0.309589791886467,0.210240697190997,0.0124942918330454,0.46767521908949
"16.Ch1",0.313759622076365,0.197357585250673,0.014908508502083,0.473974284170879
"17.Ch1",0.369983497987942,0.0538713202899117,0.0172374980202847,0.558907683701861
"18.Ch1",0.337734676715697,0.0154849756565128,0.136588658280827,0.510191689346963
"19.Ch1",0.280646104086614,0.115310433089483,0.18009140867009,0.423952054153813
"20.Ch1",0.48868537206039,0.174782722490197,0.171500731448114,0.1650311740013
"21.Ch1",0.631607313407672,0.106340165179415,0.048755986671141,0.213296534741772
"22.Ch1",0.553353880653392,0.229466838194602,0.0303092707455571,0.186870010406449
"23.Ch1",0.486822080474741,0.31595603468588,0.0328199525045316,0.164401932334847
"24.Ch1",0.549226745686582,0.180468467101028,0.0848285282210139,0.185476258991376
"25.Ch1",0.396291436016427,0.203206991654464,0.26667223207955,0.133829340249558
"26.Ch1",0.65562021273274,0.0745149873740179,0.0484590046878656,0.221405795205377
"27.Ch1",0.377174429936618,0.251675093769475,0.243777032081177,0.127373444212729
"28.Ch1",0.539289073220647,0.202165089235599,0.0764255737338565,0.182120263809898
"29.Ch1",0.363086856193374,0.175108901083827,0.339188233388619,0.122616009334179
"30.Ch1",0.644255797383394,0.0605500807160901,0.0776261391490579,0.217567982751458
"31.Ch1",0.577028091351561,0.13163315190585,0.096473862493801,0.194864894248788
"32.Ch1",0.564160355573878,0.0439450898994913,0.201375150573934,0.190519403952698
"33.Ch1",0.579867960182259,0.175374047526205,0.0489340619963779,0.195823930295158
"34.Ch1",0.680570593553264,0.05034494064357,0.0392528185588185,0.229831647244348
"35.Ch1",0.570368309064749,0.1930379387637,0.0439778953448406,0.19261585682671
"36.Ch1",0.642248419469894,0.0753287035241278,0.0655327945000958,0.216890082505882
"37.Ch1",0.432340653031963,0.23545675419969,0.186199275260542,0.146003317507806
"38.Ch1",0.681034776792253,0.0328489766037912,0.0561278426624324,0.229988403941523
"39.Ch1",0.370830952884335,0.0779201549346915,0.254686500361156,0.296562391819817
"40.Ch1",0.362893858489125,0.0409729745400394,0.305918259576562,0.290214907394273
"41.Ch1",0.405288088515549,0.195386214429841,0.0752071088639909,0.32411858819062
"42.Ch1",0.475447575615301,0.112629316285336,0.0316962982478501,0.380226809851512
"43.Ch1",0.376773863473455,0.0327503469747985,0.289160709842818,0.301315079708928
"44.Ch1",0.332885587621591,0.0592498492254033,0.34164798845894,0.266216574694066
"45.Ch1",0.492112265405504,0.0571355728774328,0.0571982004379855,0.393553961279078
"46.Ch1",0.346444850156185,0.157602622375965,0.218892285875714,0.277060241592137
"47.Ch1",0.44982276738005,0.1061864407104,0.0842567547380474,0.359734037171502
"48.Ch1",0.42526989443956,0.198934336418967,0.0356972523294347,0.340098516812038
"49.Ch1",0.307501292514873,0.24929811798966,0.197284443373922,0.245916146121545
"50.Ch1",0.490338481819407,0.043867868553205,0.0736582255517778,0.39213542407561
"51.Ch1",0.447453705675413,0.0527366877778088,0.141970164742873,0.357839441803906
"52.Ch1",0.500511579352264,0.0256546358659192,0.073562691034906,0.40027109374691
"53.Ch1",0.455102858324746,0.146421585454574,0.03451890389959,0.363956652321089
"54.Ch1",0.521104412426576,0.031098551244301,0.0310573609188883,0.416739675410235
"55.Ch1",0.351394883640841,0.268244457889145,0.0993417565816414,0.281018901888372
"56.Ch1",0.510368170787369,0.0357151013162571,0.0457630819826361,0.408153645913738
"57.Ch1",0.48928330230386,0.0722348963101677,0.047190229633087,0.391291571752885
"58.Ch1",0.640044985227438,0.158070108478029,0.104297520430491,0.0975873858640424
"59.Ch1",0.716573674126834,0.0816508568399837,0.0925197866186394,0.109255682414543
"60.Ch1",0.688222876169659,0.0341832250681161,0.172660850418187,0.104933048344038
"61.Ch1",0.742413507893427,0.11932870632665,0.0250623149338717,0.11319547084605
"62.Ch1",0.663062618666366,0.210544994558525,0.0252955121596104,0.101096874615499
"63.Ch1",0.728563612717106,0.039700121191614,0.120652482854606,0.111083783236674
"64.Ch1",0.590284048606013,0.0336620292347018,0.286053565074643,0.0900003570846425
"65.Ch1",0.535069673044887,0.180619192760764,0.202729289397887,0.0815818447964616
"66.Ch1",0.495693038766109,0.272964540133891,0.155764314934543,0.0755781061654575
"67.Ch1",0.545119442144142,0.169355869426115,0.202410559625799,0.0831141288039444
"68.Ch1",0.492359243018053,0.190388626731269,0.242182326500779,0.0750698037498987
"69.Ch1",0.809394831564703,0.042409824429661,0.0247872593126536,0.123408084692982
"70.Ch1",0.549366812016058,0.352002961463208,0.0148685030442836,0.0837617234764511
"71.Ch1",0.563630706126811,0.14207765152563,0.208355109020803,0.0859365333267546
"72.Ch1",0.594795697703406,0.0871863077609594,0.227329748237714,0.0906882462979203
"73.Ch1",0.704281181818369,0.0320361293452224,0.156301237480344,0.107381451356064
"74.Ch1",0.527940149536986,0.325441663062167,0.0661233780122874,0.0804948093885596
"75.Ch1",0.739952399114963,0.12341398928701,0.0238133849575575,0.11282022664047
"76.Ch1",0.637034567445137,0.18473643521801,0.081100608587879,0.097128388748974
"77.Ch1",0.563263930472128,0.18521088671737,0.127095756703435,0.124429426107067
"78.Ch1",0.526218619750381,0.252536410750306,0.10499914348395,0.116245826015363
"79.Ch1",0.41714357674192,0.324393299177981,0.166312831738923,0.0921502923411756
"80.Ch1",0.646208120683238,0.0336941270486946,0.177345303101043,0.142752449167025
"81.Ch1",0.521052732035318,0.0357293385179503,0.328113288600425,0.115104640846307
"82.Ch1",0.755371408741317,0.0459752493411125,0.0317858650518222,0.166867476865749
"83.Ch1",0.763487371163276,0.0346856463660908,0.0331666257632368,0.168660356707396
"84.Ch1",0.48472110142822,0.266731248748872,0.141468951525746,0.107078698297162
"85.Ch1",0.763319930199935,0.0369976769747014,0.0310590251418481,0.168623367683516
"86.Ch1",0.746889472322645,0.0449591146745767,0.0431576625089052,0.164993750493873
"87.Ch1",0.530117653284425,0.0282759675603485,0.324499226009247,0.117107153145979
"88.Ch1",0.745193703459967,0.0356110854396548,0.0545760692668124,0.164619141833566
"89.Ch1",0.655173337637192,0.140585342399441,0.0595083839585446,0.144732936004822
"90.Ch1",0.564920005060192,0.079653011315582,0.230631717633874,0.124795265990353
