,Ch1,Ch2,Ch3,Ch4,randomforest,,,,nb-rf,,,,C50,,,,nb-c50,,,
1,0.086800177,0.099570373,0.061485791,0.752143658,0.180257511,0.107296137,0.203433476,0.509012876,-0.093457333,-0.007725764,-0.141947685,0.243130783,0.142857143,0.142857143,0.142857143,0.571428571,-0.056056966,-0.04328677,-0.081371352,0.180715087
2,0.324315792,0.030673482,0.020853429,0.624157297,0.324392288,0.096395641,0.082145851,0.49706622,-7.64959E-05,-0.065722159,-0.061292422,0.127091077,0.428571429,0.428571429,0.071428571,0.071428571,-0.104255637,-0.397897947,-0.050575142,0.552728726
3,0.034228476,0.235473785,0.094115186,0.636182552,0.070871722,0.288447909,0.220411056,0.420269313,-0.036643246,-0.052974124,-0.12629587,0.21591324,0.152173913,0.47826087,0.239130435,0.130434783,-0.117945437,-0.242787085,-0.145015249,0.505747769
4,0.110047168,0.235227553,0.185516955,0.469208324,0.2631288,0.208955224,0.200110558,0.327805417,-0.153081632,0.026272329,-0.014593603,0.141402906,0.125,0.125,0.5,0.25,-0.014952832,0.110227553,-0.314483045,0.219208324
5,0.023183806,0.22064474,0.052236241,0.703935213,0.091381872,0.332095097,0.135958395,0.440564636,-0.068198067,-0.111450356,-0.083722154,0.263370577,0.2,0.4,0.2,0.2,-0.176816194,-0.17935526,-0.147763759,0.503935213
6,0.400289434,0.157855913,0.029648896,0.412205756,0.240062354,0.197194076,0.100545596,0.462197973,0.16022708,-0.039338163,-0.0708967,-0.049992217,0.166666667,0.166666667,0.166666667,0.5,0.233622767,-0.008810754,-0.137017771,-0.087794244
7,0.355388877,0.106310591,0.055801481,0.48249905,0.360222531,0.111961057,0.115438108,0.412378303,-0.004833654,-0.005650466,-0.059636627,0.070120747,0.636363636,0.181818182,0.090909091,0.090909091,-0.280974759,-0.075507591,-0.03510761,0.391589959
8,0.017247566,0.103081385,0.014214477,0.865456572,0.110364683,0.193857965,0.126679463,0.569097889,-0.093117118,-0.09077658,-0.112464986,0.296358684,0.142857143,0.285714286,0.142857143,0.428571429,-0.125609577,-0.182632901,-0.128642666,0.436885143
9,0.465747132,0.234383762,0.021537919,0.278331187,0.247512438,0.301616915,0.082089552,0.368781095,0.218234695,-0.067233154,-0.060551633,-0.090449908,0.290322581,0.580645161,0.096774194,0.032258065,0.175424551,-0.346261399,-0.075236275,0.246073122
10,0.148515875,0.129404326,0.047648546,0.674431252,0.19266055,0.165137615,0.098165138,0.544036697,-0.044144675,-0.035733288,-0.050516592,0.130394555,0.166666667,0.166666667,0.166666667,0.5,-0.018150792,-0.037262341,-0.119018121,0.174431252
11,0.172812679,0.062190862,0.090637411,0.674359049,0.338492598,0.095558546,0.166890983,0.399057873,-0.165679919,-0.033367684,-0.076253572,0.275301175,0.722222222,0.111111111,0.111111111,0.055555556,-0.549409543,-0.048920249,-0.0204737,0.618803493
12,0.095055251,0.109396146,0.089412984,0.706135618,0.114310646,0.201570681,0.166666667,0.517452007,-0.019255395,-0.092174534,-0.077253682,0.188683611,0.222222222,0.222222222,0.111111111,0.444444444,-0.127166971,-0.112826076,-0.021698127,0.261691174
13,0.068314242,0.039599857,0.0355092,0.856576701,0.183656276,0.163437237,0.153327717,0.49957877,-0.115342034,-0.12383738,-0.117818517,0.356997931,0.142857143,0.142857143,0.142857143,0.571428571,-0.074542901,-0.103257286,-0.107347943,0.28514813
14,0.088375692,0.170935083,0.090282561,0.650406664,0.112537019,0.184600197,0.117472853,0.585389931,-0.024161327,-0.013665114,-0.027190292,0.065016733,0.166666667,0.083333333,0.083333333,0.666666667,-0.078290975,0.08760175,0.006949228,-0.016260003
15,0.048523214,0.198834661,0.007200048,0.745442076,0.182101167,0.285603113,0.070817121,0.461478599,-0.133577953,-0.086768452,-0.063617072,0.283963477,0.222222222,0.472222222,0.111111111,0.194444444,-0.173699008,-0.273387561,-0.103911063,0.550997632
