"","Ch1","Ch2","Ch3","Ch4"
"1",0.174,0.158,0.179,0.489
"2",0.347,0.134,0.122,0.397
"3",0.126,0.384,0.183,0.307
"4",0.2175,0.3085,0.1815,0.2925
"5",0.109,0.3905,0.1585,0.342
"6",0.3285,0.198,0.1165,0.357
"7",0.433,0.1485,0.1415,0.277
"8",0.144,0.2125,0.1145,0.529
"9",0.276,0.3735,0.092,0.2585
"10",0.183,0.208,0.132,0.477
"11",0.3515,0.1505,0.184,0.314
"12",0.141,0.201,0.154,0.504
"13",0.1645,0.183,0.165,0.4875
"14",0.146,0.2155,0.1525,0.486
"15",0.154,0.3535,0.092,0.4005
"16",0.115,0.2885,0.1195,0.477
"17",0.181,0.2045,0.122,0.4925
"18",0.165,0.1425,0.3305,0.362
"19",0.113,0.2065,0.373,0.3075
"20",0.155,0.2995,0.2135,0.332
"21",0.358,0.272,0.167,0.203
"22",0.216,0.3485,0.136,0.2995
"23",0.293,0.367,0.1345,0.2055
"24",0.205,0.2825,0.196,0.3165
"25",0.1545,0.4125,0.2495,0.1835
"26",0.176,0.352,0.1805,0.2915
"27",0.133,0.365,0.334,0.168
"28",0.146,0.3535,0.206,0.2945
"29",0.226,0.195,0.415,0.164
"30",0.311,0.187,0.2065,0.2955
"31",0.3,0.236,0.1885,0.2755
"32",0.2195,0.146,0.306,0.3285
"33",0.323,0.2115,0.203,0.2625
"34",0.3525,0.266,0.1435,0.238
"35",0.193,0.394,0.1565,0.2565
"36",0.4545,0.2415,0.1305,0.1735
"37",0.1575,0.3915,0.218,0.233
"38",0.2405,0.22,0.185,0.3545
"39",0.17,0.1965,0.3275,0.306
"40",0.14,0.147,0.3915,0.3215
"41",0.3605,0.234,0.1425,0.263
"42",0.347,0.1905,0.1415,0.321
"43",0.136,0.1645,0.305,0.3945
"44",0.185,0.1665,0.3435,0.305
"45",0.3165,0.168,0.172,0.3435
"46",0.186,0.3365,0.2145,0.263
"47",0.1715,0.2075,0.235,0.386
"48",0.16,0.351,0.137,0.352
"49",0.1455,0.398,0.2135,0.243
"50",0.17,0.169,0.2375,0.4235
"51",0.2315,0.2175,0.187,0.364
"52",0.1825,0.1425,0.189,0.486
"53",0.2625,0.2075,0.1345,0.3955
"54",0.283,0.157,0.173,0.387
"55",0.195,0.3765,0.157,0.2715
"56",0.1915,0.1675,0.171,0.47
"57",0.3515,0.171,0.1285,0.349
"58",0.211,0.267,0.2855,0.2365
"59",0.241,0.2525,0.2125,0.294
"60",0.3455,0.177,0.2685,0.209
"61",0.1735,0.259,0.226,0.3415
"62",0.2035,0.3345,0.1645,0.2975
"63",0.2215,0.208,0.2735,0.297
"64",0.176,0.2125,0.4155,0.196
"65",0.2755,0.2495,0.292,0.183
"66",0.2135,0.339,0.262,0.1855
"67",0.227,0.259,0.3205,0.1935
"68",0.253,0.251,0.318,0.178
"69",0.227,0.229,0.2095,0.3345
"70",0.247,0.384,0.156,0.213
"71",0.156,0.254,0.389,0.201
"72",0.1595,0.2205,0.394,0.226
"73",0.24,0.1975,0.282,0.2805
"74",0.139,0.4145,0.2005,0.246
"75",0.2355,0.2395,0.197,0.328
"76",0.187,0.3,0.2415,0.2715
"77",0.196,0.2665,0.237,0.3005
"78",0.1755,0.3265,0.2205,0.2775
"79",0.1465,0.412,0.2355,0.206
"80",0.183,0.1985,0.31,0.3085
"81",0.1985,0.153,0.405,0.2435
"82",0.358,0.1975,0.169,0.2755
"83",0.188,0.2395,0.1995,0.373
"84",0.1845,0.3515,0.259,0.205
"85",0.3345,0.195,0.1715,0.299
"86",0.21,0.2075,0.246,0.3365
"87",0.1585,0.173,0.4035,0.265
"88",0.353,0.1895,0.2005,0.257
"89",0.3315,0.2485,0.152,0.268
"90",0.281,0.1745,0.3,0.2445
"91",0.2095,0.245,0.188,0.3575
"92",0.1875,0.214,0.32,0.2785
"93",0.2185,0.375,0.1755,0.231
"94",0.1455,0.2935,0.274,0.287
"95",0.25,0.2045,0.3345,0.211
"96",0.1655,0.3055,0.3365,0.1925
"97",0.3685,0.2685,0.179,0.184
"98",0.236,0.328,0.2955,0.1405
"99",0.192,0.368,0.179,0.261
"100",0.3715,0.3195,0.172,0.137
"101",0.3515,0.202,0.199,0.2475
"102",0.224,0.2345,0.3305,0.211
"103",0.1895,0.3945,0.19,0.226
"104",0.188,0.298,0.181,0.333
"105",0.1995,0.461,0.1755,0.164
"106",0.2385,0.363,0.2,0.1985
"107",0.204,0.436,0.173,0.187
"108",0.1705,0.4295,0.1995,0.2005
"109",0.252,0.2335,0.2655,0.249
"110",0.435,0.202,0.1635,0.1995
"111",0.181,0.22,0.3995,0.1995
"112",0.3565,0.2365,0.1835,0.2235
"113",0.2505,0.199,0.2665,0.284
"114",0.274,0.177,0.194,0.355
"115",0.1245,0.505,0.1215,0.249
"116",0.332,0.1385,0.2615,0.268
"117",0.288,0.189,0.1555,0.3675
"118",0.158,0.342,0.2015,0.2985
"119",0.17,0.1985,0.26,0.3715
"120",0.1755,0.318,0.1475,0.359
"121",0.4265,0.143,0.167,0.2635
"122",0.176,0.1775,0.1745,0.472
"123",0.1355,0.466,0.1755,0.223
"124",0.252,0.1205,0.297,0.3305
"125",0.341,0.2455,0.127,0.2865
"126",0.2585,0.21,0.1635,0.368
"127",0.162,0.334,0.1245,0.3795
"128",0.226,0.169,0.1325,0.4725
"129",0.278,0.165,0.205,0.352
"130",0.2905,0.2915,0.2005,0.2175
"131",0.158,0.3155,0.143,0.3835
"132",0.1375,0.239,0.383,0.2405
"133",0.2815,0.219,0.1805,0.319
"134",0.24,0.288,0.1965,0.2755
"135",0.199,0.209,0.2345,0.3575
"136",0.21,0.2775,0.203,0.3095
"137",0.1955,0.2525,0.3135,0.2385
"138",0.311,0.1995,0.234,0.2555
"139",0.3455,0.1805,0.258,0.216
"140",0.229,0.2995,0.284,0.1875
"141",0.2205,0.1755,0.3465,0.2575
"142",0.2755,0.273,0.16,0.2915
"143",0.206,0.2215,0.22,0.3525
"144",0.2445,0.2225,0.1805,0.3525
"145",0.241,0.201,0.212,0.346
"146",0.291,0.186,0.183,0.34
"147",0.2085,0.18,0.3705,0.241
"148",0.2525,0.208,0.2695,0.27
"149",0.179,0.3865,0.187,0.2475
"150",0.215,0.192,0.3635,0.2295
"151",0.196,0.1905,0.3345,0.279
"152",0.2435,0.2095,0.1895,0.3575
"153",0.471,0.149,0.175,0.205
"154",0.1485,0.288,0.3145,0.249
"155",0.209,0.301,0.181,0.309
"156",0.269,0.2995,0.26,0.1715
"157",0.3075,0.139,0.216,0.3375
"158",0.2855,0.301,0.2265,0.187
"159",0.2695,0.411,0.14,0.1795
"160",0.168,0.2125,0.283,0.3365
"161",0.149,0.3345,0.248,0.2685
"162",0.1705,0.283,0.259,0.2875
"163",0.2585,0.2805,0.268,0.193
"164",0.267,0.1655,0.3215,0.246
