No,Ch1,Ch2,Ch3,Ch4
9501,0.155913783,0.071877302,0.111083954,0.661124961
9502,0.461150384,0.032811097,0.009421845,0.496616674
9503,0.031829351,0.251368061,0.158793578,0.558009009
9504,0.317990209,0.137251798,0.095478419,0.449279574
9505,0.049991238,0.286940355,0.043320575,0.619747832
9506,0.238687754,0.213970704,0.022156142,0.5251854
9507,0.328940724,0.05888054,0.050119837,0.562058899
9508,0.04310708,0.169269652,0.027576152,0.760047116
9509,0.272398608,0.287055608,0.020262517,0.420283267
9510,0.156572144,0.096491956,0.023852352,0.723083547
9511,0.310847075,0.05052595,0.092412772,0.546214203
9512,0.065269088,0.185671619,0.072069906,0.676989387
9513,0.155041976,0.087836158,0.087640087,0.669481779
9514,0.036739154,0.152545131,0.05664069,0.754075025
9515,0.153734858,0.226468733,0.012038191,0.607758217
9516,0.044173658,0.183730891,0.01888055,0.753214902
9517,0.150907694,0.115638414,0.029576549,0.703877342
9518,0.089325689,0.027988852,0.140852858,0.741832601
9519,0.042690892,0.204311216,0.121201628,0.631796264
9520,0.076321653,0.293590237,0.303783297,0.326304813
9521,0.396522925,0.13780907,0.061528851,0.404139154
9522,0.367112312,0.294181029,0.031802651,0.306904009
9523,0.093220335,0.593548567,0.036512397,0.276718701
9524,0.197578025,0.242898155,0.117957784,0.441566036
9525,0.124437963,0.347020478,0.323912074,0.204629485
9526,0.110375273,0.138089566,0.12839092,0.623144241
9527,0.092561077,0.440398326,0.303565159,0.163475438
9528,0.085517927,0.34686232,0.137708843,0.42991091
9529,0.200382613,0.267399206,0.327441161,0.20477702
9530,0.148727364,0.112251516,0.143715475,0.595305646
9531,0.226213392,0.251898641,0.15856262,0.363325347
9532,0.202923496,0.066805707,0.31424738,0.416023417
9533,0.36721928,0.267137484,0.070271476,0.29537176
9534,0.605903266,0.053449976,0.031931658,0.3087151
9535,0.243160113,0.337645658,0.049177643,0.370016585
9536,0.667027222,0.059742681,0.043696578,0.229533519
9537,0.099298148,0.30830966,0.275660297,0.316731894
9538,0.305736998,0.117647331,0.101492294,0.475123377
9539,0.065927866,0.185686361,0.280244529,0.468141244
9540,0.105968607,0.062917091,0.387320177,0.443794125
9541,0.343241891,0.255789414,0.071446033,0.329522661
9542,0.310643374,0.135984037,0.02696802,0.52640457
9543,0.033632094,0.065379585,0.478513182,0.422475138
9544,0.179723317,0.08441809,0.339039371,0.396819221
9545,0.286358397,0.102317069,0.109595103,0.501729431
9546,0.108558559,0.2897731,0.228473884,0.373194457
9547,0.081670959,0.24310555,0.159614125,0.515609366
9548,0.104596156,0.23814162,0.039495167,0.617767057
9549,0.079063368,0.385594813,0.212978982,0.322362838
9550,0.078978272,0.076636998,0.104992546,0.739392184
9551,0.249512243,0.073001192,0.21205836,0.465428205
